שם יישוב,סוג יישוב,סטטוס,כתיבים חלופיים,מה הנציג עושה,הערה,מקור,תאריך עדכון,כמות התקנות,תאריך התקנה אחרונה
יאנון,יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,,
יאסוף,יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,,
יאציד,יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,,
יבול,יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,,
יבנאל,יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,1,אוגוסט 2022
יבנה,עיר,מתקינים,,להמשיך לבדיקת תשתית ושטח,ברירת מחדל לעיר שאינה חריגה,סיווג ראשוני,,6,ספטמבר 2024
יברוד,יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,,
יגור,קיבוץ,מתקינים,,להמשיך לבדיקת תשתית ושטח,ברירת מחדל לקיבוץ שאינו חריג,סיווג ראשוני,,,
יגל,יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,,
יד בנימין,יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,,
יד השמונה,יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,1,מאי 2022
יד חנה,יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,1,מרץ 2022
יד מרדכי,קיבוץ,מתקינים,,להמשיך לבדיקת תשתית ושטח,ברירת מחדל לקיבוץ שאינו חריג,סיווג ראשוני,,,
יד נתן,יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,,
"יד רמב""ם",יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,,
ידידה,יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,,
יהוד - מונוסון,יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,,
יהוד מונוסון,עיר,מתקינים,,להמשיך לבדיקת תשתית ושטח,ברירת מחדל לעיר שאינה חריגה,סיווג ראשוני,,,
יהוד-מונוסון,עיר,מתקינים,,להמשיך לבדיקת תשתית ושטח,ברירת מחדל לעיר שאינה חריגה,סיווג ראשוני,,2,מרץ 2025
יהל,יישוב דרומי,לא מתקינים,,לא לקדם,דרומית למצפה רמון / אילת,כלל אזורי,,,
יובל,יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,,
יובלים,יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,1,מאי 2020
יודפת,יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,2,נובמבר 2021
יונתן,יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,3,יולי 2024
יושיביה,יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,,
יזרעאל,יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,,
יזרעם,יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,,
יחיעם,יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,,
יטבתה,יישוב דרומי,לא מתקינים,,לא לקדם,דרומית למצפה רמון / אילת,כלל אזורי,,,
"ייט""ב",יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,,
יכיני,יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,,
ימא,יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,,
ינוב,יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,1,אוגוסט 2022
ינון,יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,,
יסוד המעלה,יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,1,אפריל 2024
יסודות,יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,,
יסעור,קיבוץ,מתקינים,,להמשיך לבדיקת תשתית ושטח,ברירת מחדל לקיבוץ שאינו חריג,סיווג ראשוני,,,
יעבד,יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,,
יעד,יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,,
יעל,יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,,
יעף,יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,,
יערה,יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,,
יפיע,כפר,לא מתקינים,,לא לקדם,יישוב ערבי,ויקיפדיה + הנחיית עבודה פנימית,,,
יפית,התנחלות,מתקינים,,להמשיך לבדיקת תשתית ושטח,ברירת מחדל להתנחלות שאינה חריגה,סיווג ראשוני,,,
יפעת,קיבוץ,מתקינים,,להמשיך לבדיקת תשתית ושטח,ברירת מחדל לקיבוץ שאינו חריג,סיווג ראשוני,,1,ינואר 2023
יפתח,יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,1,נובמבר 2025
יצהר,התנחלות,מתקינים,,להמשיך לבדיקת תשתית ושטח,ברירת מחדל להתנחלות שאינה חריגה,סיווג ראשוני,,,
יציץ,יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,,
יקום,קיבוץ,מתקינים,,להמשיך לבדיקת תשתית ושטח,ברירת מחדל לקיבוץ שאינו חריג,סיווג ראשוני,,,
יקיר,התנחלות,מתקינים,,להמשיך לבדיקת תשתית ושטח,ברירת מחדל להתנחלות שאינה חריגה,סיווג ראשוני,,7,אפריל 2024
יקנעם (מושבה),יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,,
יקנעם עילית,עיר,מתקינים,,להמשיך לבדיקת תשתית ושטח,ברירת מחדל לעיר שאינה חריגה,סיווג ראשוני,,2,יוני 2024
יראון,יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,,
ירדנה,יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,,
ירוחם,יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,4,יולי 2024
ירושלים,עיר,מתקינים,,להמשיך לבדיקת תשתית ושטח,ברירת מחדל לעיר שאינה חריגה,סיווג ראשוני,,7,פברואר 2026
ירחיב,יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,2,אוקטובר 2025
יריחו,יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,,
ירכא,כפר,לא מתקינים,,לא לקדם,יישוב ערבי,ויקיפדיה + הנחיית עבודה פנימית,,1,מרץ 2022
ירקונה,יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,1,דצמבר 2020
ישע,יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,,
ישעי,יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,,
ישרש,יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,,
יתד,יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,,
יתיר,יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,,
יתמא,יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,,
כאבול,כפר,לא מתקינים,,לא לקדם,יישוב ערבי,ויקיפדיה + הנחיית עבודה פנימית,,,
כאוכב אבו אל - היגא,כפר,לא מתקינים,,לא לקדם,יישוב ערבי,ויקיפדיה + הנחיית עבודה פנימית,,,
כאוכב אבו אל היגא,כפר,לא מתקינים,,לא לקדם,יישוב ערבי,ויקיפדיה + הנחיית עבודה פנימית,,,
כאוכב אבו אל-היגא,כפר,לא מתקינים,,לא לקדם,יישוב ערבי,ויקיפדיה + הנחיית עבודה פנימית,,,
כברי,קיבוץ,מתקינים,,להמשיך לבדיקת תשתית ושטח,ברירת מחדל לקיבוץ שאינו חריג,סיווג ראשוני,,,
כדורי,יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,,
כדים,יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,,
כדיתה,יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,,
כובר,יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,,
כוכב השחר,יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,,
כוכב יאיר,יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,,
כוכב יעקב,התנחלות,מתקינים,,להמשיך לבדיקת תשתית ושטח,ברירת מחדל להתנחלות שאינה חריגה,סיווג ראשוני,,,
כוכב מיכאל,יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,1,יוני 2022
כונתילא,יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,,
כור,יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,,
כורזים,יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,,
כזיה אל רטר,יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,,
כחל,יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,1,מאי 2021
כחלה,יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,,
כיסופים,יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,,
כישור,יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,,
כליל,יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,,
כלנית,יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,,
כמאנה,יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,,
כמהין,יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,,
כמון,יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,1,מרץ 2024
כנות,יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,,
כנף,יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,,
כנרת (מושבה),יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,,
כנרת (קבוצה),יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,,
כסייפה,כפר,לא מתקינים,,לא לקדם,יישוב ערבי,ויקיפדיה + הנחיית עבודה פנימית,,,
כסיפה,יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,,
כסלון,יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,,
כסרא,יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,,
כסרא - סמיע,יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,,
כסרא סמיע,יישוב / לא סווג,להתייעץ,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה | יישוב דרוזי — נדרשת התייעצות (החלטת מנהל),דורש בדיקה | CRM,13/06/2026,,
כסרא-סמיע,יישוב / לא סווג,להתייעץ,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה | יישוב דרוזי — נדרשת התייעצות (החלטת מנהל),דורש בדיקה | CRM,13/06/2026,1,אוגוסט 2022
כעביה - טבאש -,יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,,
כעביה טבאש,יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,,
כעביה שבט,יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,,
כעביה-טבאש-,יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,,
כפיר,יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,,
כפירת,יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,,
כפל חארת,יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,,
כפר אביב,כפר / לא סווג,להתייעץ,,לא לתת תשובה סופית לפני בדיקה,שם מתחיל בכפר ולא סווג בוודאות,דורש בדיקה,,,
כפר אדומים,התנחלות,מתקינים,,להמשיך לבדיקת תשתית ושטח,ברירת מחדל להתנחלות שאינה חריגה,סיווג ראשוני,,4,פברואר 2025
כפר אוריה,כפר / לא סווג,להתייעץ,,לא לתת תשובה סופית לפני בדיקה,שם מתחיל בכפר ולא סווג בוודאות,דורש בדיקה,,,
כפר אזר,כפר / לא סווג,להתייעץ,,לא לתת תשובה סופית לפני בדיקה,שם מתחיל בכפר ולא סווג בוודאות,דורש בדיקה,,,
כפר אחים,כפר / לא סווג,להתייעץ,,לא לתת תשובה סופית לפני בדיקה,שם מתחיל בכפר ולא סווג בוודאות,דורש בדיקה,,,
כפר אל דיכ,כפר / לא סווג,להתייעץ,,לא לתת תשובה סופית לפני בדיקה,שם מתחיל בכפר ולא סווג בוודאות,דורש בדיקה,,,
כפר אל לבד,כפר / לא סווג,להתייעץ,,לא לתת תשובה סופית לפני בדיקה,שם מתחיל בכפר ולא סווג בוודאות,דורש בדיקה,,,
כפר ביאליק,כפר / לא סווג,להתייעץ,,לא לתת תשובה סופית לפני בדיקה,שם מתחיל בכפר ולא סווג בוודאות,דורש בדיקה,,,
"כפר ביל""ו",כפר / לא סווג,להתייעץ,,לא לתת תשובה סופית לפני בדיקה,שם מתחיל בכפר ולא סווג בוודאות,דורש בדיקה,,,
כפר בלום,קיבוץ,מתקינים,,להמשיך לבדיקת תשתית ושטח,ברירת מחדל לקיבוץ שאינו חריג,סיווג ראשוני,,1,יוני 2022
כפר בן נון,כפר / לא סווג,להתייעץ,,לא לתת תשובה סופית לפני בדיקה,שם מתחיל בכפר ולא סווג בוודאות,דורש בדיקה,,,
כפר ברא,כפר,לא מתקינים,,לא לקדם,יישוב ערבי,ויקיפדיה + הנחיית עבודה פנימית,,,
כפר ברוך,יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,1,מרץ 2022
כפר גדעון,כפר / לא סווג,להתייעץ,,לא לתת תשובה סופית לפני בדיקה,שם מתחיל בכפר ולא סווג בוודאות,דורש בדיקה,,,
כפר גלים,כפר / לא סווג,להתייעץ,,לא לתת תשובה סופית לפני בדיקה,שם מתחיל בכפר ולא סווג בוודאות,דורש בדיקה,,,
כפר גליקסון,כפר / לא סווג,להתייעץ,,לא לתת תשובה סופית לפני בדיקה,שם מתחיל בכפר ולא סווג בוודאות,דורש בדיקה,,,
כפר גלעדי,קיבוץ,מתקינים,,להמשיך לבדיקת תשתית ושטח,ברירת מחדל לקיבוץ שאינו חריג,סיווג ראשוני,,,
כפר גמאל,כפר / לא סווג,להתייעץ,,לא לתת תשובה סופית לפני בדיקה,שם מתחיל בכפר ולא סווג בוודאות,דורש בדיקה,,,
כפר דאן,כפר / לא סווג,להתייעץ,,לא לתת תשובה סופית לפני בדיקה,שם מתחיל בכפר ולא סווג בוודאות,דורש בדיקה,,,
כפר דניאל,יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,2,מאי 2020
כפר דרום,כפר / לא סווג,להתייעץ,,לא לתת תשובה סופית לפני בדיקה,שם מתחיל בכפר ולא סווג בוודאות,דורש בדיקה,,,
כפר האורנים,יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,,
כפר החורש,כפר / לא סווג,להתייעץ,,לא לתת תשובה סופית לפני בדיקה,שם מתחיל בכפר ולא סווג בוודאות,דורש בדיקה,,,
כפר המכבי,כפר / לא סווג,להתייעץ,,לא לתת תשובה סופית לפני בדיקה,שם מתחיל בכפר ולא סווג בוודאות,דורש בדיקה,,,
כפר הנגיד,כפר / לא סווג,מתקינים,,לא לתת תשובה סופית לפני בדיקה,שם מתחיל בכפר ולא סווג בוודאות | אומת מ-CRM: פרויקטים הושלמו ביישוב,דורש בדיקה | CRM,13/06/2026,2,יולי 2022
כפר הנוער הדתי,כפר / לא סווג,להתייעץ,,לא לתת תשובה סופית לפני בדיקה,שם מתחיל בכפר ולא סווג בוודאות,דורש בדיקה,,,
כפר הנשיא,יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,,
כפר הס,מושב,מתקינים,,להמשיך לבדיקת תשתית ושטח,ברירת מחדל למושב שאינו חריג,סיווג ראשוני,,,
"כפר הרא""ה",כפר / לא סווג,להתייעץ,,לא לתת תשובה סופית לפני בדיקה,שם מתחיל בכפר ולא סווג בוודאות,דורש בדיקה,,,
"כפר הרי""ף",יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,,
כפר ויתקין,מושב,מתקינים,,להמשיך לבדיקת תשתית ושטח,ברירת מחדל למושב שאינו חריג,סיווג ראשוני,,,
כפר ורבורג,מושב,מתקינים,,להמשיך לבדיקת תשתית ושטח,ברירת מחדל למושב שאינו חריג,סיווג ראשוני,,,
כפר ורדים,כפר / לא סווג,מתקינים,,לא לתת תשובה סופית לפני בדיקה,שם מתחיל בכפר ולא סווג בוודאות | אומת מ-CRM: פרויקטים הושלמו ביישוב,דורש בדיקה | CRM,13/06/2026,6,אפריל 2024
כפר זוהרים,כפר / לא סווג,להתייעץ,,לא לתת תשובה סופית לפני בדיקה,שם מתחיל בכפר ולא סווג בוודאות,דורש בדיקה,,,
כפר זיבאד,כפר / לא סווג,להתייעץ,,לא לתת תשובה סופית לפני בדיקה,שם מתחיל בכפר ולא סווג בוודאות,דורש בדיקה,,,
כפר זיתים,כפר / לא סווג,להתייעץ,,לא לתת תשובה סופית לפני בדיקה,שם מתחיל בכפר ולא סווג בוודאות,דורש בדיקה,,,
"כפר חב""ד",כפר / לא סווג,להתייעץ,,לא לתת תשובה סופית לפני בדיקה,שם מתחיל בכפר ולא סווג בוודאות,דורש בדיקה,,,
כפר חושן,כפר / לא סווג,להתייעץ,,לא לתת תשובה סופית לפני בדיקה,שם מתחיל בכפר ולא סווג בוודאות,דורש בדיקה,,,
כפר חיטים,יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,,
כפר חיים,מושב,מתקינים,,להמשיך לבדיקת תשתית ושטח,ברירת מחדל למושב שאינו חריג,סיווג ראשוני,,,
כפר חנניה,יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,1,אוקטובר 2020
כפר חסידים ב,יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,,
כפר חרוב,יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,,
כפר טרומן,מושב,מתקינים,,להמשיך לבדיקת תשתית ושטח,ברירת מחדל למושב שאינו חריג,סיווג ראשוני,,,
כפר יאסיף,כפר,לא מתקינים,,לא לקדם,יישוב ערבי,ויקיפדיה + הנחיית עבודה פנימית,,,
כפר ידידיה,כפר / לא סווג,להתייעץ,,לא לתת תשובה סופית לפני בדיקה,שם מתחיל בכפר ולא סווג בוודאות,דורש בדיקה,,,
כפר יהושע,מושב,מתקינים,,להמשיך לבדיקת תשתית ושטח,ברירת מחדל למושב שאינו חריג,סיווג ראשוני,,1,מאי 2021
כפר יונה,יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,7,יולי 2024
כפר יחזקאל,מושב,מתקינים,,להמשיך לבדיקת תשתית ושטח,ברירת מחדל למושב שאינו חריג,סיווג ראשוני,,2,מרץ 2025
כפר יעבץ,כפר / לא סווג,להתייעץ,,לא לתת תשובה סופית לפני בדיקה,שם מתחיל בכפר ולא סווג בוודאות,דורש בדיקה,,,
כפר כמא,כפר / לא סווג,מתקינים,,לא לתת תשובה סופית לפני בדיקה,שם מתחיל בכפר ולא סווג בוודאות | אומת מ-CRM: פרויקטים הושלמו ביישוב,דורש בדיקה | CRM,13/06/2026,1,נובמבר 2021
כפר כנא,כפר,לא מתקינים,,לא לקדם,יישוב ערבי,ויקיפדיה + הנחיית עבודה פנימית,,,
כפר לאקף,כפר / לא סווג,להתייעץ,,לא לתת תשובה סופית לפני בדיקה,שם מתחיל בכפר ולא סווג בוודאות,דורש בדיקה,,,
כפר מאלכ,כפר / לא סווג,להתייעץ,,לא לתת תשובה סופית לפני בדיקה,שם מתחיל בכפר ולא סווג בוודאות,דורש בדיקה,,,
כפר מונש,כפר / לא סווג,להתייעץ,,לא לתת תשובה סופית לפני בדיקה,שם מתחיל בכפר ולא סווג בוודאות,דורש בדיקה,,,
